"year","month","temperature"
1913,"Травень",12.2
1914,"Травень",15.7
1915,"Травень",13.8
1916,"Травень",12.2
1917,"Травень",12.4
1918,"Травень",11.6
1919,"Травень",10.4
1920,"Травень",16.9
1921,"Травень",16.6
1922,"Травень",14.5
1923,"Травень",16.7
1924,"Травень",17.7
1925,"Травень",16.8
1926,"Травень",15
1927,"Травень",12.7
1928,"Травень",13
1929,"Травень",16.7
1930,"Травень",14.5
1931,"Травень",16.9
1932,"Травень",16.5
1933,"Травень",12.9
1934,"Травень",16.6
1935,"Травень",12.5
1936,"Травень",16.4
1937,"Травень",17.4
1938,"Травень",14
1939,"Травень",15.2
1940,"Травень",14.3
1941,"Травень",11.4
1942,"Травень",13.2
1943,"Травень",12.6
1944,"Травень",13.5
1945,"Травень",12.8
1946,"Травень",16.5
1947,"Травень",15.3
1948,"Травень",16.7
1949,"Травень",17.5
1950,"Травень",15.8
1951,"Травень",13.9
1952,"Травень",12.7
1953,"Травень",13.7
1954,"Травень",15.4
1955,"Травень",13.4
1956,"Травень",13.4
1957,"Травень",14.6
1958,"Травень",17.6
1959,"Травень",13.3
1960,"Травень",14.4
1961,"Травень",13.2
1962,"Травень",14.8
1963,"Травень",18.2
1964,"Травень",13
1965,"Травень",12.7
1966,"Травень",16.4
1967,"Травень",17.5
1968,"Травень",15.1
1969,"Травень",14.8
1970,"Травень",15
1971,"Травень",16.1
1972,"Травень",16
1973,"Травень",14.4
1974,"Травень",12.6
1975,"Травень",19
1976,"Травень",12.6
1977,"Травень",15.2
1978,"Травень",12.6
1979,"Травень",17.6
1980,"Травень",11.3
1981,"Травень",16.1
1982,"Травень",15.1
1983,"Травень",17.9
1984,"Травень",16.7
1985,"Травень",17
1986,"Травень",16.7
1987,"Травень",14.2
1988,"Травень",15.2
1989,"Травень",15.2
1990,"Травень",14.6
1991,"Травень",12.8
1992,"Травень",13.6
1993,"Травень",16.5
1994,"Травень",13.1
1995,"Травень",14
1996,"Травень",18.6
1997,"Травень",16.1
1998,"Травень",15.2
1999,"Травень",12.8
2000,"Травень",15.4
2001,"Травень",14.2
2002,"Травень",16.5
2003,"Травень",19.4
2004,"Травень",13.2
2005,"Травень",16.4
2006,"Травень",14.4
2007,"Травень",18.4
2008,"Травень",14.3
2009,"Травень",15.1
2010,"Травень",17.3
2011,"Травень",16.7
2012,"Травень",18.1
2013,"Травень",18.9
2014,"Травень",16.9
1812,"Червень",18.2
1813,"Червень",16.2
1814,"Червень",17.3
1815,"Червень",18
1816,"Червень",19.7
1817,"Червень",18.8
1818,"Червень",15.4
1819,"Червень",20
1820,"Червень",16.5
1821,"Червень",16
1822,"Червень",15.4
1823,"Червень",18.3
1824,"Червень",14.7
1825,"Червень",15.8
1826,"Червень",15.8
1827,"Червень",18.7
1828,"Червень",18.3
1829,"Червень",14.8
1830,"Червень",18.2
1831,"Червень",15.7
1832,"Червень",13.5
1833,"Червень",19.6
1834,"Червень",17.3
1835,"Червень",17.2
1836,"Червень",15.6
1837,"Червень",14.9
1838,"Червень",16.3
1839,"Червень",18.7
1840,"Червень",16
1841,"Червень",19.6
1842,"Червень",17.1
1843,"Червень",18.2
1844,"Червень",15.9
1845,"Червень",17.7
1847,"Червень",18.2
1851,"Червень",17.2
1852,"Червень",19.6
1853,"Червень",19.2
1854,"Червень",15.8
1855,"Червень",21.9
1856,"Червень",19.7
1857,"Червень",18.7
1858,"Червень",17.6
1859,"Червень",17
1860,"Червень",19
1861,"Червень",18.3
1862,"Червень",19.4
1863,"Червень",16.8
1864,"Червень",19.6
1865,"Червень",13.7
1866,"Червень",19.5
1867,"Червень",16.7
1868,"Червень",18.7
1869,"Червень",17.4
1870,"Червень",16.1
1871,"Червень",18.6
1872,"Червень",18.2
1873,"Червень",18.8
1874,"Червень",17.5
1875,"Червень",21.6
1876,"Червень",19.6
1877,"Червень",17.9
1878,"Червень",18.6
1879,"Червень",19.7
1880,"Червень",17.7
1881,"Червень",16.9
1882,"Червень",16.1
1883,"Червень",19.3
1884,"Червень",18.2
1885,"Червень",19
1886,"Червень",17.3
1887,"Червень",13.9
1888,"Червень",16.6
1889,"Червень",17.9
1890,"Червень",16.1
1891,"Червень",17.5
1892,"Червень",20.7
1893,"Червень",16.5
1894,"Червень",14.4
1895,"Червень",17
1896,"Червень",18.7
1897,"Червень",18.5
1898,"Червень",16
1899,"Червень",14.9
1900,"Червень",16.4
1901,"Червень",21.6
1902,"Червень",18.1
1903,"Червень",19
1904,"Червень",16
1905,"Червень",19.4
1906,"Червень",19.1
1907,"Червень",17.2
1908,"Червень",17.2
1909,"Червень",17.8
1910,"Червень",19.9
